IDENTIFIER	GSM1052615	GSM1052616	GSM1052617	GSM1052618	GSM1052619	GSM1052620
ABHD1	7.21266	7.38347	7.08878	8.49116	8.30375	8.39184
ABHD10	9.93267	9.87493	10.1948	10.2937	10.3039	10.2889
ABHD11	9.76112	9.81074	9.74747	9.38161	9.32171	9.46624
ABHD12	10.2619	10.2578	10.2604	10.5055	10.4572	10.4631
ABHD12B	5.81687	5.81039	5.9203	5.78003	5.97671	5.79362
ABHD13	10.8339	10.8938	10.9581	10.9334	10.9858	11.0201
ABHD14A	10.077	9.98521	9.95433	10.6007	10.4239	10.6867
ABHD14B	10.4034	10.3077	10.392	10.8237	10.621	10.7776
ABHD15	8.83701	8.92854	8.8354	9.16196	9.09585	9.18407
ABHD16A	8.22325	8.25868	8.24518	8.42152	8.39192	8.50019
ABHD16A	8.28674	8.31835	8.28288	8.47944	8.44099	8.53614
ABHD16B	7.2396	7.35582	7.32841	7.05101	6.91768	7.08625
ABHD17A	10.3205	10.294	10.2651	10.3223	10.2451	10.439
ABHD17A	10.3205	10.294	10.2651	10.3223	10.2451	10.439
ABHD17A	9.69496	9.67622	9.67491	9.67109	9.57132	9.74811
ABHD17A	9.5882	9.84028	9.50921	9.55708	9.32607	9.53238
ABHD17A	10.2478	10.1288	10.1335	10.1373	10.0441	10.2423
ABHD17B	9.1462	9.07157	9.16446	9.22948	9.33418	9.02029
ABHD17C	10.754	10.4094	10.7982	9.21298	9.33381	9.32206
ABHD2	9.99806	9.80814	10.0296	9.97227	9.87799	9.96889
ABHD3	8.52857	8.15911	8.4506	8.25358	8.31852	8.21583
ABHD4	9.14439	9.17679	9.23167	10.3232	10.3011	10.4365
ABHD4	7.44646	7.54331	7.3455	7.22329	7.5032	7.61241
ABHD5	10.61	10.4846	10.567	10.4968	10.3953	10.5447
ABHD6	9.43284	9.22227	9.37718	9.26728	9.30043	9.25274
ABHD8	8.5261	8.60011	8.48773	9.22318	9.08349	8.9078
ABI1	9.28324	9.06228	9.28745	9.58235	9.6394	9.60598
ABI2	11.0319	10.8846	11.0708	11.0578	11.0359	11.0866
ABI3	7.15997	7.25765	7.09717	6.93463	6.87881	7.05891
ABI3BP	8.83834	8.72576	8.84823	9.61293	9.29678	9.25028
ABL1	10.3395	10.2751	10.3799	10.5376	10.5941	10.5535
ABL2	10.6944	10.7231	10.7105	10.6863	10.8774	10.6439
