geneNames	GSM2229013	GSM2229014	GSM2229015	GSM2229016	GSM2229017	GSM2229018	GSM2229019	GSM2229020
Tbc1d19	8.687698	9.193809	9.32147	8.765055	9.055557	9.518194	9.59272	9.462657
Tbc1d2	8.382249	8.283914	8.112833	8.953869	8.30738	7.949563	7.923575	7.924506
Tbc1d20	10.55689	10.57887	11.06223	11.059	11.10657	11.02221	11.02831	10.98678
Tbc1d21	5.879382	5.640631	5.477457	5.777437	5.684222	5.583015	5.508132	5.719325
Tbc1d22a	9.123054	9.09169	9.216158	9.145414	9.103422	9.198633	9.042812	9.101473
Tbc1d22b	9.992325	10.02099	10.00038	9.661946	9.918489	9.96012	9.857302	9.832434
Tbc1d23	9.719249	9.652284	9.865912	9.638692	9.837899	9.920545	9.876766	9.936911
Tbc1d24	7.644749	7.505851	7.701917	7.666178	7.855042	7.974222	7.986946	7.923207
Tbc1d25	8.88009	8.961355	8.869422	8.946923	8.946851	9.013221	8.788468	8.858712
Tbc1d2b	9.915	10.2301	10.43584	10.74464	10.62193	10.70487	10.8574	10.76614
Tbc1d30	8.017323	7.824414	7.395434	6.84319	6.696261	7.286345	6.639915	6.717507
Tbc1d31	9.099882	9.608877	9.423523	9.083326	9.499552	9.354454	9.110404	9.017965
Tbc1d32	7.615875	7.841134	7.865639	7.741947	7.733296	8.166555	8.162592	7.939334
Tbc1d4	8.394521	8.682422	9.102667	9.088835	9.32399	9.540907	9.330986	9.10417
Tbc1d5	6.7870035	6.950862	7.075073	6.9320175	6.9407215	7.2704505	7.0240565	6.9144265
Tbc1d7	8.66348	8.861353	9.119415	8.530568	8.725899	8.577211	8.750384	8.28919
Tbc1d8	9.432886	9.272095	9.285016	8.797318	9.071074	9.722916	9.659563	9.457333
Tbc1d8b	7.100677	7.268412	7.649189	7.513682	7.758385	7.81863	8.000346	8.002228
Tbc1d9	9.0084235	9.055626	8.673262	8.96153	9.192282	8.9434685	8.798889	8.831754
Tbc1d9b	9.368464	9.325703	9.639233	9.683054	9.721134	9.803024	10.04211	10.04123
Tbca	9.69648	9.815056	9.986845	9.823206	9.764838	9.950347	9.647116	9.635345
Tbcb	9.461037	9.400926	9.67742	9.745364	9.690119	9.490067	9.380954	9.299943
Tbcc	7.837361	7.637864	7.627389	7.70796	7.602283	7.94172	7.630352	7.742619
Tbccd1	8.928263	9.222874	9.224153	9.208482	9.263639	9.455068	9.186345	9.114029
Tbcd	9.513524	9.53919	9.443627	9.573568	9.347908	9.319225	9.165873	9.240467
Tbce	9.910059	10.00484	10.09679	9.567251	9.804046	10.13747	10.03397	9.928202
Tbcel	8.557559	8.766453	8.480064	8.284924	8.284698	8.527072	8.606945	8.500122
Tbck	9.682862	9.893135	9.860143	9.552902	9.847247	10.06919	9.946224	9.862286
Tbk1	9.195059	9.149816	9.46637	9.181938	9.29963	9.368839	9.168356	9.043026
Tbkbp1	8.018053	7.948895	7.709174	8.168545	7.974468	7.965541	8.035213	8.117146
Tbl1x	10.71227	10.73331	10.77106	10.59884	10.60182	10.75105	10.74946	10.6112
Tbl1xr1	10.41723	10.639925	10.72822	10.13808	10.44976	10.69209	10.59498	10.641555
Tbl2	9.16999	9.091328	9.017302	9.109867	9.080695	9.003982	9.19769	9.328317
Tbl3	8.434117	8.522181	8.50381	8.613529	8.435342	8.043762	7.97518	8.190929
Tbp	9.538352	9.800144	9.720946	9.417807	9.721888	9.565489	9.677429	9.54391
Tbpl1	8.095892	8.191029	8.172695	8.098034	8.159974	8.832419	8.436855	8.40401
Tbpl2	5.263638	5.306542	5.343714	5.378688	5.213367	5.385114	5.28903	5.346412
Tbr1	6.048943	6.046659	6.090748	6.03013	6.058308	5.985689	6.014421	6.020513
Tbrg1	11.8309	11.74417	11.90306	11.79113	11.82712	11.66903	11.7309	11.76455
Tbrg3	8.302679	8.306147	8.196628	8.044459	8.190832	8.428862	8.055868	7.998374
Tbrg4	10.279	10.15124	10.05008	10.14407	10.04375	9.712342	9.733524	9.755291
Tbx1	10.66401	10.47279	10.37926	9.642392	9.907851	10.12706	9.48591	9.732861
Tbx10	7.227621	6.987174	6.981759	7.072897	7.101322	6.927688	7.127306	7.033753
Tbx15	8.593117	9.28043	9.612451	9.125897	9.480622	10.38732	10.74203	10.64495
Tbx18	7.9611745	7.7514225	7.7740555	8.254633	7.937071	7.955322	8.0109655	7.993492
Tbx19	6.033892	5.752048	5.665448	5.890834	5.92022	5.655447	5.840657	5.950215
Tbx2	8.373065	8.267459	8.193337	8.474711	8.360245	8.089924	8.484588	8.460496
Tbx20	5.309448	5.237941	5.407187	5.451047	5.289539	5.250403	5.400697	5.377298
Tbx21	7.032187	7.008217	6.846406	7.178505	7.013551	6.939836	7.007058	7.037774
Tbx22	5.619185	5.481877	5.400557	5.519499	5.501899	5.447524	5.474209	5.476606
Tbx3	7.36542	7.592256	7.445876	7.636721	7.403387	7.884065	7.945156	8.036077
Tbx4	6.880857	6.516967	6.389766	6.661796	6.620744	6.772222	6.83046	6.774584
Tbx5	6.218913	5.806112	5.843882	5.921371	5.862749	5.865798	6.053105	6.051292
Tbx6	8.061398	7.724647	7.260732	7.729304	7.567693	7.536561	7.365281	7.538844
Tbxa2r	8.282493	8.054365	8.067228	8.134859	8.121249	8.042805	7.964246	8.423649
Tbxas1	6.264918	6.455691	6.893479	7.346057	7.519723	7.263508	6.983943	6.897799
Tc2n	5.931903	6.093296	6.921854	6.512785	6.313585	7.368387	7.231331	7.120322
Tcaim	7.499587	7.609789	7.67846	7.592848	7.839733	8.423226	8.396563	8.285983
Tcam1	7.073456	7.097488	6.926893	7.136704	7.130766	6.919053	7.064559	7.013386
Tcap	8.765959	8.385094	8.814211	8.578343	8.718044	9.986622	10.46312	9.710306
Tcea1	10.895775	10.885895	10.879745	10.76611	10.98128	10.9193	10.819815	10.86756
Tcea2	7.254822	7.057729	7.227786	7.420227	7.185601	7.326405	7.334329	7.328675
Tcea3	8.261462	8.174154	8.169659	8.024405	8.19157	9.24618	9.366562	9.139361
Tceal1	6.853984	7.291473	7.224062	6.667814	6.866138	8.336653	7.989961	7.800587
Tceal3	7.367409	6.86913	6.42504	6.566554	6.479485	6.885254	6.871327	6.729523
Tceal5	5.785503	5.75397	5.590475	5.900586	5.728961	5.681673	5.871797	5.847923
Tceal6	5.684238	5.833247	5.769299	5.815888	5.72464	5.654826	5.760046	5.908976
Tceal8	8.71969	8.735361	9.039224	8.939749	9.015377	8.815815	8.935191	8.950668
Tceanc	6.314617	6.59447	6.497845	6.421073	6.678047	6.64507	6.613672	6.652071
Tceanc2	6.9346255	7.026984	6.9718555	7.014139	7.0301635	7.1408255	7.1048605	6.921646
Tceb1	10.35292	10.33522	10.59675	10.00495	10.15391	10.33935	10.4192	10.291
Tceb2	12.213115	11.95314	12.059855	12.06035	12.252505	11.854025	11.749585	11.767965
Tceb3	9.571198	9.627239	9.748012	9.689651	9.766886	9.601519	9.603338	9.437013
Tcerg1	9.298771	9.586044	9.621994	9.299715	9.377915	9.229332	9.132094	9.090252
Tcerg1l	7.084375	6.809527	6.710634	7.024325	6.952284	6.853338	6.867843	7.009194
Tcf12	11.21323	11.11046	11.17272	10.65952	11.00953	11.27796	11.09667	11.17388
Tcf15	7.477508	7.152177	7.059535	7.109272	7.073828	6.906826	7.285728	7.309841
Tcf19	10.62874	10.96588	11.05226	10.43042	10.84957	9.65777	9.590019	9.636974
Tcf20	10.37313	10.39861	10.32038	10.17265	10.42992	10.30014	10.21875	10.37761
Tcf21	6.52771	6.197875	6.062373	6.220533	6.219294	6.124405	6.192199	6.196197
Tcf23	7.206073	7.067403	7.165174	7.652165	7.204268	6.925814	7.050441	7.033524
Tcf25	11.64379	11.63308	11.62858	11.62403	11.61207	11.65017	11.58395	11.68923
Tcf3	10.10435	9.766216	9.687365	9.395657	9.468761	9.338591	9.291852	9.381378
Tcf4	10.59583	10.62395	10.8702	10.7456	10.89623	11.149	11.12948	11.12608
Tcf7	8.559574	8.694124	7.927597	7.976805	7.869446	7.890956	7.989392	7.957515
Tcf7l1	9.040285	8.951487	8.900639	8.39975	8.460109	8.860015	9.024129	8.980591
Tcf7l2	10.16895	10.08652	10.1297	9.452713	9.513565	10.13067	10.0076	10.0506
Tcfl5	8.0154065	7.718303	7.5788885	7.7353685	7.6133895	7.219643	7.6189375	7.7526005
Tchh	13.76106	13.6216	12.72968	7.863567	7.781526	11.94066	7.75973	7.42608
Tchhl1	12.0975	11.853	9.983608	7.944685	7.894032	9.227644	7.724775	7.78829
Tchp	8.084143	8.113133	7.919755	7.985805	8.062632	8.202384	8.193026	8.085917
Tcirg1	9.698966	9.470471	9.551709	10.0057	9.789348	9.50655	9.456783	9.618617
Tcl1	5.828102	5.714339	5.589455	5.537839	5.727482	5.545594	5.589455	5.773627
Tcl1b1	7.204137	7.007655	7.004622	7.063088	7.052702	6.919342	7.139668	7.057231
Tcl1b2	5.300467	5.488984	5.368062	5.563539	5.47451	5.497649	5.588961	5.45668
Tcl1b3	5.092991	5.035462	5.132521	5.198542	5.109222	5.115205	5.275311	5.132892
Tcl1b4	7.425024	7.267266	7.109999	7.076115	7.15243	6.97206	7.193279	7.137097
Tcl1b5	7.431554	7.340293	7.276367	7.512322	7.224914	7.055327	7.515344	7.50996
Tcn2	10.94121	10.5123	11.17789	11.60561	11.56832	11.519	11.52361	11.59599
Tcof1	9.377332	9.47822	9.376841	9.573465	9.358174	9.237708	9.220716	9.140183
Tcp1	10.98829	11.10279	11.07734	10.97842	11.03737	10.80571	10.61154	10.7537
Tcp10b	5.991592	5.753106	5.970146	6.116177	5.945655	5.903718	5.914238	5.908815
Tcp10c	5.933427	5.730334	5.926648	6.079727	5.886929	5.718602	5.844963	5.873017
Tcp11	7.666217	7.424259	7.401248	7.553568	7.446618	7.359763	7.319929	7.467679
Tcp11l1	7.502716	7.546619	7.706892	8.033878	7.990959	8.115036	8.368554	8.067114
Tcp11l2	9.477489	9.356351	8.715475	8.903839	8.866869	9.226171	8.781843	8.733843
Tcra-V22.1	5.205213	5.1102915	5.1282065	5.175185	5.2927345	5.130679	5.1828485	5.103352
Tcrg-V1	6.333536	6.653003	6.52794	5.824113	6.02153	7.849657	7.850771	7.487637
Tcrg-V6	7.703312	7.86359	8.0607215	7.0419995	7.09476	8.7222155	8.622651	8.474277
Tcstv1	7.179298	7.095119	6.987868	7.063594	7.17866	6.936996	7.075694	7.11948
Tcta	8.79575	8.881143	8.646541	8.826435	8.867844	9.196186	9.213152	9.091185
Tcte2	7.593028	7.773269	7.143022	6.970637	6.893555	7.196555	7.063087	6.929961
Tctex1d1	6.340849	6.365396	6.162822	6.409974	6.287237	6.236665	6.184407	6.20873
Tctex1d2	7.679547	7.947068	7.997632	7.812174	7.816629	8.308325	8.195211	7.968258
Tctex1d4	6.77521	6.572467	6.559954	6.67475	6.535176	6.447181	6.558111	6.502837
Tctn1	7.6919295	7.593632	7.946084	7.8676265	7.9137815	8.1836035	8.065888	8.1428045
Tctn2	8.394401	8.41578	8.235977	8.222124	8.194636	8.11445	8.215366	8.295553
Tctn3	8.762882	8.69485	8.555304	8.638237	8.597887	8.639203	8.470652	8.351738
Tdgf1	6.5671165	6.518484	6.605688	6.4065725	6.4640875	6.4685945	6.5891435	6.505233
Tdh	7.594878	7.8920885	8.863859	9.12017	9.4194895	6.6503045	6.58017	6.99104
Tdo2	5.134307	5.213565	5.481658	5.479751	5.410541	5.359798	7.074234	6.604129
Tdp1	8.903823	9.17323	9.086584	8.694635	8.952092	8.88937	8.666422	8.704931
Tdp2	9.190807	9.760978	9.610608	8.986985	9.485731	9.493811	9.446921	9.180654
Tdpoz2	6.2860955	6.123284	6.1137185	6.24032	6.2242305	6.1135655	6.2424985	6.2440345
Tdpoz3	5.220808	5.108289	5.130412	5.237448	5.068983	5.083436	5.103408	5.093973
Tdpoz4	5.763459	5.635468	5.739375	5.66118	5.60858	5.728891	5.629315	5.803482
Tdrd1	5.594779	5.574135	5.379797	5.530717	5.542131	5.432914	5.427467	5.46909
Tdrd12	5.508403	5.494912	5.423931	5.515073	5.482138	5.4169	5.574687	5.520379
Tdrd3	9.52189	9.907487	10.05051	9.534243	9.918461	10.06279	10.13932	10.00899
Tdrd5	6.573983	6.510288	6.521565	6.507956	6.492764	6.416373	6.438416	6.539191
Tdrd6	5.733932	5.654022	5.585605	5.685596	5.746418	5.444368	5.710559	5.579111
Tdrd7	8.091857	8.447039	8.550113	8.607156	8.545042	8.648183	8.707703	8.797038
Tdrd9	6.637123	6.456761	6.307241	6.457568	6.42935	6.243864	6.393208	6.495204
Tdrkh	5.886576	5.920769	5.86389	5.938277	5.844145	6.262672	6.331363	6.252348
Tdrp	7.016798	6.887508	6.914059	6.842197	6.850846	7.175956	7.424818	7.12147
Tead1	10.208325	10.46407	10.43256	10.1921285	10.33039	10.808935	10.98671	11.015495
Tead2	8.441515	8.699145	8.440315	8.179676	8.202935	8.360991	8.027531	8.280796
Tead3	10.43543	10.17676	10.19338	10.14932	10.11469	9.800905	9.819763	9.885357
Tead4	8.705506	8.808337	9.356122	9.49996	9.193474	8.936149	9.007243	9.12003
Tec	9.230816	9.414168	9.105335	8.729329	9.010666	9.344584	9.012877	8.760584
Tecpr1	7.987487	7.884767	7.8715	8.036351	8.1267	8.119715	8.337117	8.21037
Tecpr2	8.589195	8.668085	8.33495	8.425908	8.367727	8.634975	8.512312	8.591665
Tecr	12.50313	12.59176	12.75142	12.30255	12.8198	12.69633	12.7951	12.76033
Tecrl	4.792284	4.743739	4.858247	4.815574	4.808505	4.900707	4.783914	4.772333
Tecta	6.879507	6.576616	6.381506	6.636493	6.501749	6.339818	6.634073	6.561522
Tectb	6.069579	5.957889	5.649987	5.957445	5.990307	5.750817	5.886329	5.976629
Teddm1	6.380112	6.102165	6.049875	6.262312	6.231138	6.194096	6.225019	6.326447
Tef	9.409046	8.809124	9.396059	8.822529	9.499518	10.45365	10.75972	10.17448
Tefm	7.008366	7.288622	7.19271	6.990487	7.089928	7.376916	7.283558	7.133824
Tek	7.956521	8.17789	8.835915	8.77027	8.88525	9.483076	9.111019	9.072508
Tekt1	6.828771	6.674305	6.617219	6.701509	6.577156	6.566256	6.711787	6.719866
Tekt2	7.1985055	7.2657305	7.1077175	7.1809265	7.2411435	7.692687	7.549307	7.551984
Tekt3	6.256672	6.062563	6.002011	6.317724	6.078199	6.153588	6.116566	6.204425
Tekt4	6.238648	6.146817	5.948126	6.185498	6.062452	6.013276	6.076393	6.220437
Tekt5	7.242488	7.314724	6.77323	6.669365	6.486848	6.59144	6.249844	6.58817
Telo2	8.099689	8.030826	7.955935	7.995461	8.027478	7.962454	8.036681	8.123879
Ten1	8.426133	8.462754	8.637636	8.562304	8.623276	8.72626	8.600227	8.697199
Tenc1	8.931084	9.069929	9.53455	9.572758	9.618863	9.92817	10.48986	10.29502
Tenm1	5.45759	5.45741	5.464531	5.45491	5.491313	5.544343	5.519879	5.61423
Tenm2	10.50127	10.38728	10.10095	9.487369	9.461093	10.62862	10.20372	10.64463
Tenm3	7.599585	8.204904	8.255352	8.042058	8.288448	8.824492	8.469585	8.362169
Tenm4	9.125086	9.156466	9.126463	9.226297	9.077523	9.017264	8.929038	8.930585
Tep1	9.326837	9.170024	9.23182	9.358934	9.248009	9.433817	9.309282	9.277238
Tepp	7.077203	6.773099	6.63905	6.67749	6.615279	6.580919	6.838566	6.996097
Terc	10.23719	10.30648	10.39865	10.33873	10.51649	9.946451	9.770672	9.660001
Terf1	9.305272	9.77293	9.747591	9.264612	9.631623	9.329697	9.217308	8.918958
Terf2	8.729291	8.902487	8.86128	8.852566	8.949388	8.857951	8.855312	8.780746
Terf2ip	7.970984	8.147045	8.168054	7.987323	8.046968	8.427725	8.35154	8.23785
Tert	6.652143	6.535989	6.468178	6.6055	6.597939	6.609194	6.509268	6.708365
Tes	8.718036	8.460452	8.567316	8.933243	8.599509	8.565567	8.042253	8.180897
Tesc	8.202916	8.473724	8.469468	8.249393	8.705776	9.161263	8.712349	8.994696
Tescl	6.927711	6.837181	6.74341	7.024242	6.952441	6.843306	6.93464	6.925202
Tesk1	9.301475	9.144255	9.277891	9.38034	9.265562	9.352879	9.538056	9.498147
Tesk2	7.704239	7.814202	8.321844	8.500225	8.274164	8.113193	8.010574	8.104867
Tespa1	6.946361	6.971739	7.163699	6.863312	6.889806	7.431266	6.908853	6.893263
