ID_REF	GSM2229013	GSM2229014	GSM2229015	GSM2229016	GSM2229017	GSM2229018	GSM2229019	GSM2229020
10338782	7.232518	6.914969	6.565099	6.080858	7.420046	7.886976	7.749613	6.758039
10338783	8.762899	9.03149	9.26639	9.014245	9.118432	9.633055	9.595302	9.460867
10338784	6.372231	6.797588	6.656169	5.921853	6.421285	6.643464	6.248884	6.164588
10338785	5.186244	5.084425	5.043139	4.93961	5.212257	4.665802	5.036834	5.342044
10338786	5.944838	5.696169	6.771206	5.182225	5.948485	5.999012	5.363178	5.698887
10338787	5.815111	5.469005	5.337686	5.478463	5.48155	5.696389	5.467627	5.214501
10338788	5.987399	6.37606	5.754613	5.869347	6.041512	6.223928	5.776673	6.08018
10338789	8.440531	8.511259	8.454679	8.319397	8.451492	8.233593	8.163873	8.534999
10338790	6.449773	8.126339	5.964255	5.737578	5.845219	6.065096	5.790058	5.976809
10338791	7.852485	8.593248	8.376634	7.277165	7.94832	7.753368	8.182521	7.719144
10338792	7.770865	7.795061	7.687943	7.635074	7.926093	7.687488	7.812403	7.940828
10338793	8.875266	8.947133	8.945143	8.881635	8.869845	8.901175	8.867463	8.832438
10338794	6.983588	7.44941	7.700156	7.397549	6.734123	7.437954	6.961996	7.525085
10338795	4.787601	4.665537	4.654078	4.560661	4.737823	4.802005	4.776314	4.666653
10338796	8.446268	8.57692	8.938841	8.377057	8.565833	8.816367	8.912023	8.545553
10338797	6.155262	6.673357	6.714182	6.157579	6.667921	6.734193	5.930425	6.33455
10338798	5.043241	5.145795	5.241899	4.48595	5.402259	4.669394	4.443591	5.040077
10338799	7.767102	6.60018	7.638199	7.321349	7.358972	7.207358	7.17198	7.054313
10338800	12.56642	12.5443	12.56834	12.01403	12.57188	12.46706	12.42188	12.58615
10338801	5.188601	5.519058	5.776618	5.290636	5.117449	5.224829	5.20827	5.057447
10338802	12.2507	12.06921	12.307	12.46839	12.30251	12.33618	12.06288	12.17857
10338803	5.431015	5.767334	6.019265	5.799815	5.378161	5.717033	5.447034	5.610821
10338804	11.31088	11.18272	11.3277	11.01579	11.38231	11.08148	11.23752	11.39072
10338805	5.257896	5.651619	5.809509	5.596044	5.7679	5.852259	5.849466	5.307343
10338806	4.9367	4.792138	4.733425	4.65246	4.868614	4.591722	5.070203	4.577729
10338807	6.54185	6.897908	7.051676	5.368408	7.106466	6.308872	7.217941	6.220177
10338808	6.267597	6.666609	6.568337	6.45869	6.665277	6.711316	6.303178	6.029395
10338809	4.641976	4.954219	4.865941	5.387854	4.71436	4.812965	4.703594	5.147466
10338810	6.988712	8.260203	8.62096	7.950845	8.462589	7.69378	7.670105	7.41333
10338811	10.38411	10.35512	10.5825	10.24661	10.5879	10.23401	10.48552	10.63219
10338812	10.20462	10.2513	10.55667	10.17768	10.62261	10.62508	10.61201	11.15264
10338813	4.544004	4.763728	4.954062	4.430718	4.542614	4.764763	4.758222	4.413602
10338814	9.928026	9.680166	9.624903	9.709033	9.827501	9.700082	9.781842	9.842224
10338815	10.79059	10.59058	10.72278	10.95745	10.64026	10.99188	10.64037	10.8452
10338816	7.807967	8.246387	8.224089	7.782339	8.500467	8.423717	8.583394	8.646885
10338817	8.269979	7.981237	8.476369	7.99548	8.584859	8.8079	8.656377	8.811455
10338818	6.366414	7.57588	7.784515	6.521829	6.493176	7.974586	6.789645	6.640933
10338819	5.01792	5.215186	5.26495	4.748323	5.277609	5.451334	5.452146	5.247491
10338820	6.111499	5.787323	5.966909	5.710637	5.906688	6.024464	6.372934	6.195417
10338821	7.933378	7.481467	8.218868	7.382233	6.935781	7.621633	7.586067	7.617772
10338822	8.885855	8.831681	8.953465	8.921288	9.238732	8.87626	8.755893	8.606496
10338823	8.632811	8.573546	8.602665	8.104481	8.477635	8.552127	8.603766	8.165375
10338824	7.277893	7.721175	8.045181	7.967063	8.333122	7.662675	7.898306	7.024014
10338825	4.980697	4.881624	5.083264	5.073766	5.098414	5.081835	5.040521	4.885698
10338826	5.73208	5.804735	5.742718	5.143357	5.741494	5.913623	6.04569	5.684846
10338827	6.796937	7.427256	7.086313	7.346672	6.90022	6.899329	7.417491	7.376783
10338828	7.176397	7.096749	6.885074	7.328504	7.578584	6.711956	7.08039	6.620788
10338829	7.948555	8.324151	8.539378	8.062849	8.022688	8.580516	8.285629	8.048848
10338830	10.31794	10.57774	10.36085	9.647259	10.2131	10.30887	10.04118	10.21197
10338831	9.395527	9.487509	8.574913	8.690861	9.064945	8.604403	8.683214	9.095291
10338832	8.648129	8.528185	8.924582	8.687994	8.749601	9.177333	9.092904	9.028975
10338833	9.1266	9.430302	9.547808	9.540181	9.545876	9.806676	9.539356	9.498329
10338834	5.364597	5.241764	5.058163	5.530005	5.160626	5.475218	5.171061	5.173704
10338835	9.851833	10.242	9.822351	8.908084	9.36711	9.176738	9.465333	8.234829
10338836	4.325514	4.474386	4.639518	4.317658	4.344209	4.364156	4.28862	4.33626
10338837	9.357055	9.676366	9.837893	9.600842	9.458429	9.573374	9.699575	9.343997
10338838	7.03094	7.329735	7.404953	6.474751	7.133558	6.795351	7.331937	6.491611
10338839	6.619806	6.887752	6.690815	6.033233	6.329794	7.126845	6.969688	6.065357
10338840	4.727229	4.73976	4.891302	4.766677	4.578727	4.664017	4.58948	4.503312
10338841	10.25299	10.22748	10.2952	9.810907	10.20584	10.10275	10.15297	10.19869
10338842	4.942616	5.539183	5.302771	5.352409	5.335624	5.030053	5.11832	5.134123
10338843	4.757289	5.058536	5.065184	4.939255	4.876972	4.748813	4.932796	4.568278
10338844	4.485158	4.540699	4.545728	4.490463	4.520251	4.515083	4.445966	4.62607
10338845	7.490943	7.485561	7.989896	7.091146	7.515213	7.947514	7.478756	7.072219
10338846	8.13683	8.451365	8.369925	8.114793	8.207427	7.678803	7.69442	7.931761
10338847	10.72745	10.74911	10.57617	10.72733	10.62482	10.61132	10.60586	10.37469
10338848	6.608194	6.429991	6.627505	6.132825	6.511098	6.551628	6.566288	6.609178
10338849	6.036752	6.177468	5.942885	5.907413	5.949413	6.209399	5.997818	5.848351
10338850	7.040545	7.106109	7.502079	6.941373	6.462675	7.106036	6.560885	7.105843
10338851	6.814003	6.718554	7.136396	6.353224	6.723537	7.29674	6.845136	6.928276
10338852	10.75777	10.75461	10.72346	10.25549	10.6035	10.72834	10.3914	10.53048
10338853	10.89648	10.78354	11.05814	10.71695	10.88362	11.04371	10.91993	10.79406
10338854	8.376979	8.515963	8.211128	8.32494	8.312548	8.217786	8.290939	7.975143
10338855	7.524713	8.090358	7.706244	7.17138	7.310266	7.676249	7.295352	5.940063
10338856	7.222907	7.734951	7.596845	6.751246	6.918316	7.18424	6.294178	6.875281
10338857	4.960465	5.182324	5.953538	5.447654	5.44951	5.919937	5.211286	4.829726
10338858	7.778902	8.123002	8.078418	8.08986	7.714589	7.993454	7.623833	7.525123
10338859	5.180423	4.885856	5.536977	5.036165	5.077931	5.022453	5.085586	5.39652
10338860	4.344613	4.40662	4.24137	4.221064	4.339374	4.296055	4.334443	4.248069
10338861	9.200083	9.211101	9.035807	8.932315	8.962768	8.863379	8.802258	8.849642
10338862	5.329431	5.391811	5.398733	4.877956	5.56665	5.354996	5.393615	5.052029
10338863	7.978143	8.080233	8.369267	8.123812	8.27629	8.264399	8.352126	8.065291
10338864	5.802323	6.421024	6.115562	5.149775	5.506	5.450577	5.791122	5.352419
10338865	11.02782	11.00468	11.10736	11.18989	11.01462	11.02381	11.2355	10.99785
10338866	6.231313	6.903138	6.93256	6.301024	6.444717	6.558819	6.197864	5.720397
10338867	6.927154	7.121292	7.475221	6.889647	7.188402	6.8905	7.114611	7.183648
10338868	6.473121	6.464981	6.917396	6.922295	7.040181	6.826252	7.195395	7.307804
10338869	8.041326	8.462849	8.154469	7.589327	7.582819	8.064328	7.872382	7.635582
10338870	10.45914	11.0118	10.8523	10.50719	10.9222	10.41094	10.80666	10.47463
10338871	10.6516	10.67533	9.991355	10.03452	10.05555	9.85961	9.763134	9.860416
10338872	8.07915	8.512787	8.396991	8.363113	8.956482	8.765189	8.78299	8.393208
10338873	4.468591	4.296884	4.565758	4.508201	4.370371	4.402741	4.413775	4.422257
10338874	6.926991	6.982399	7.091109	6.918605	7.051026	6.85836	6.823608	6.624722
10338875	9.853842	9.565812	9.439704	9.816737	9.810255	9.477635	9.537337	9.789157
10338876	10.54089	10.89932	10.92609	10.73706	10.9681	10.33281	10.36657	10.59588
10338877	5.305627	5.118009	4.90179	5.21296	5.477278	5.622694	5.480486	4.994613
10338878	4.591116	4.745642	5.014379	4.543389	4.602962	4.625274	4.473719	4.42205
10338879	6.81064	7.56309	7.254338	7.166822	7.251451	6.876655	7.026695	6.927269
10338880	10.57968	11.06102	10.98513	10.47704	10.78223	11.16161	11.04595	11.04342
10338881	5.839293	5.88711	5.583332	5.786523	5.671125	5.489335	5.400572	5.456401
10338882	7.388147	7.813536	8.357822	7.407559	7.776012	8.052839	7.072587	7.618665
10338883	5.52051	5.196387	5.319818	5.029767	5.089981	4.951836	5.238019	5.451247
10338884	8.627638	9.276327	9.127131	8.444034	8.718128	8.906954	8.688797	8.197449
10338885	10.37757	10.09786	10.26404	10.47291	10.27323	9.848239	10.11052	9.915827
10338886	6.462684	6.303463	6.378188	6.032955	6.729451	6.695145	6.767504	6.400205
10338887	10.71662	10.60916	10.44152	10.39288	10.55251	10.5751	10.78372	10.65151
10338888	6.989296	6.756589	7.230228	7.002004	6.714895	6.911213	6.732361	7.071339
10338889	6.316933	6.362464	6.570512	6.30063	6.268029	6.444083	6.612786	6.227893
10338890	9.914327	9.641043	9.87707	9.86167	9.804014	10.12436	9.96761	9.721299
10338891	8.624122	8.616509	8.574274	8.494973	7.865713	8.11786	8.417802	8.018002
10338892	4.746855	4.764258	4.614221	4.241052	4.466518	4.329543	4.308918	4.595953
10338893	6.824131	6.678431	6.692417	7.01195	6.759533	6.93098	6.899098	7.201862
10338894	8.646863	8.96314	8.58481	8.336326	8.406033	8.389457	9.26552	8.708944
10338895	9.047005	9.117839	9.270505	9.155046	9.521208	9.324953	9.469185	9.344429
10338896	5.493523	5.679172	5.600892	5.686614	5.584168	5.759645	5.451015	5.676391
10338897	6.256648	6.200876	6.29406	6.369343	5.783547	6.595607	6.050999	5.869946
10338898	6.526594	5.923765	5.976634	6.369802	6.650544	6.102995	6.408382	6.579988
10338899	5.269484	5.497283	4.890711	4.930172	4.877814	4.845782	4.967517	4.936527
10338900	4.81619	5.218029	5.415856	5.476854	5.618506	5.183246	5.400697	5.442401
10338901	6.198843	7.017191	6.9416	6.548069	6.979006	7.173279	6.625189	6.100206
10338902	5.005865	5.330381	4.984488	4.865615	5.228021	5.04799	4.920293	4.857862
10338903	4.551575	4.663512	4.863918	4.60863	4.513275	4.619102	4.652194	4.625438
10338904	6.930679	6.868505	6.610591	6.668598	6.443805	6.726401	6.819233	6.543029
10338905	5.656362	5.396493	5.430544	5.223696	5.330929	5.610678	5.448276	5.733508
10338906	10.56028	10.46123	10.32065	10.33084	10.12994	10.1442	10.00601	9.706302
10338907	7.996443	8.191026	9.194334	7.613728	7.999379	8.213263	8.052392	8.465926
10338908	9.711529	9.522573	9.596354	8.979093	9.115107	9.05104	8.918271	9.547161
10338909	6.580201	7.228434	6.994483	6.841125	6.476566	6.393757	7.086766	6.400972
10338910	9.97726	10.02818	10.08229	9.751563	9.793468	9.948632	9.618502	9.843559
10338911	5.247641	5.451637	4.94995	5.70607	5.049892	5.016181	4.905908	4.940317
10338912	4.980986	4.752583	4.934135	4.341394	4.395725	4.392797	4.423597	4.464598
10338913	7.542006	7.9304	7.882224	7.949351	7.643157	8.110902	8.232526	8.343485
10338914	6.999102	5.816799	6.804587	6.491874	6.504609	6.436197	6.584245	5.595487
10338915	4.60407	4.827392	4.947352	4.803493	4.657259	4.750877	4.767265	4.485407
10338916	4.260254	4.296998	4.379544	4.447124	4.471272	4.315212	4.374852	4.424038
10338917	5.741284	6.572518	5.770332	6.061852	5.701128	6.618621	5.579478	5.544979
10338918	8.731243	8.934391	8.707033	8.330104	8.252576	8.45186	8.60463	7.763948
10338919	7.464626	7.305923	7.308012	7.485757	7.46083	7.62988	7.911026	7.813418
10338920	11.61698	12.0031	12.06444	11.40121	11.73385	11.76715	11.81009	11.7819
10338921	5.888849	6.355978	5.792079	6.302049	6.136991	5.765215	6.103257	5.916389
10338922	6.404815	6.580876	6.51876	6.367767	6.493623	6.520434	6.522192	6.512773
10338923	10.90507	11.09776	11.90472	11.4897	12.52084	11.24984	12.08652	11.50716
10338924	6.725128	6.937096	6.928596	7.131045	7.02722	6.779202	6.754525	7.060473
10338925	9.702569	9.908906	9.741371	9.723927	9.839437	9.939626	9.556786	9.638328
10338926	7.095438	7.729603	7.516123	7.579917	7.608055	8.098377	7.823872	7.421212
10338927	7.238877	7.004251	6.89548	7.03431	7.225804	6.737254	7.142685	6.980245
10338928	6.664854	6.60717	6.695117	6.135168	6.29694	6.421171	6.564452	6.416378
10338929	7.436735	7.681797	7.164901	7.996753	7.113237	7.459407	7.387555	7.470984
10338930	7.495003	7.92758	8.053542	7.676194	7.659381	8.285769	7.764137	8.285309
10338931	6.792546	6.978046	6.972884	6.029988	6.954043	6.10088	6.064784	6.245279
10338932	5.761817	5.532301	5.619216	6.670389	5.740395	6.275749	5.689535	5.995739
10338933	5.372606	5.412491	5.89749	5.476759	5.641815	5.319901	5.156213	5.300964
10338934	10.32765	10.05591	9.93436	9.442877	9.854807	9.341429	9.859891	9.907611
10338935	4.248933	4.340133	4.567197	4.286429	4.221748	4.278461	4.273125	4.25067
10338936	6.730101	6.712344	6.62245	6.549943	6.884016	7.795254	6.449567	6.903472
10338937	4.391692	4.557856	4.445974	4.244017	4.391987	4.450799	4.405199	4.500502
10338938	8.685996	8.960455	9.136307	9.07415	9.245479	8.880828	8.554396	8.578036
10338939	4.283783	5.0373	4.662435	4.634245	5.000569	5.100813	4.843916	4.745609
10338940	8.109508	8.167178	8.455571	7.686213	7.931561	8.308345	7.902069	8.232386
10338941	4.520473	4.623772	4.63557	4.526175	4.577085	4.707999	4.670344	4.539042
10338942	5.835336	5.940331	6.254949	5.847782	5.745754	6.012716	6.383713	5.805366
10338943	5.496072	5.235415	5.031664	4.96494	4.843895	4.98362	5.115602	5.196152
10338944	5.432769	5.76663	4.907845	5.550159	5.782457	5.698336	6.24893	5.778303
10338945	8.073255	8.51554	8.889	8.143176	8.618695	8.821645	8.670513	8.078602
10338946	6.981184	7.444826	7.184945	6.127786	7.174183	7.443219	7.442109	6.348375
10338947	9.803744	9.509233	9.298922	9.697786	9.514051	9.088045	9.319729	9.628825
10338948	4.679132	5.752566	6.166386	4.765268	5.331326	5.809163	5.405022	5.198994
10338949	7.390394	6.657022	7.031848	6.796647	7.154396	6.7722	7.128058	6.900146
10338950	5.009477	4.881661	4.989499	4.844223	4.832685	4.844954	4.58795	4.681302
10338951	10.22305	10.51901	10.26268	9.331467	9.603679	9.938448	9.729956	9.387268
10338952	6.996708	7.377553	7.439778	6.980294	6.920771	7.84274	6.900526	6.847129
10338953	4.669007	4.528586	4.547615	4.663309	4.567224	4.592733	4.710914	4.731834
10338954	12.45176	12.3774	12.31971	12.10803	12.35496	12.16451	12.1994	12.16977
10338955	7.575374	7.18551	7.293456	7.817002	7.623306	7.312362	7.422471	7.347891
10338956	4.925422	4.867682	5.681703	4.690472	4.965869	4.913422	5.176831	5.034163
10338957	8.871464	9.238054	9.199196	9.025394	9.141421	9.049132	9.196161	8.206923
10338958	4.963608	5.29105	5.149911	4.710656	5.585178	5.462948	5.395453	5.403193
10338959	8.60533	8.656727	8.293859	8.424521	8.435501	8.035264	8.188389	8.49769
10338960	4.403079	4.538032	4.462219	4.608017	4.656924	4.649149	4.69453	4.521665
10338961	6.306878	6.474689	6.321966	6.508305	6.337782	6.517251	6.448504	6.28667
10338962	4.482217	4.803275	4.692105	4.393818	4.522344	4.535958	4.428475	4.602994
10338963	9.052289	8.855471	8.357543	8.063707	8.69743	8.602775	8.256489	8.233847
10338964	7.002788	7.20807	7.541575	7.312282	7.564974	7.155018	7.40665	6.948125
10338965	8.580208	8.638753	8.629999	8.367124	8.320802	8.383874	8.318329	8.518432
10338966	7.88975	7.695998	8.065441	7.047814	7.083675	7.50517	7.856945	6.940777
10338967	5.927863	5.604827	5.682866	5.830448	5.277711	5.242849	5.200997	5.665331
10338968	5.393008	5.370254	5.709983	4.907477	4.993659	5.956492	5.184515	4.819222
10338969	6.056268	5.87692	6.070105	5.980446	6.214876	6.136429	6.076416	5.277836
10338970	5.846068	5.423191	5.792779	5.816435	5.735915	5.461091	5.651721	5.61503
10338971	7.255102	7.024593	7.251243	6.567244	7.206929	7.521162	6.707533	6.755154
10338972	10.30043	10.38257	10.41129	10.15367	10.41488	10.73008	10.62005	10.63654
10338973	6.50691	6.706499	6.588976	6.107174	6.47536	6.758732	6.383471	6.206478
10338974	8.505062	8.779652	8.705782	8.592949	8.372837	8.899709	8.806633	8.533071
10338975	5.270311	5.322146	5.082575	5.555911	5.422649	5.086385	5.207599	5.5433
10338976	5.935063	7.499462	7.505344	5.78339	6.294179	6.297976	6.382141	5.751332
10338977	9.381792	9.120291	9.597983	9.247609	9.766706	9.403917	9.417999	9.046557
10338978	9.143167	9.390508	9.433547	8.44425	9.16952	9.618899	9.443398	9.409204
10338979	9.421969	9.729568	9.537253	9.544402	9.742769	9.239921	9.266903	9.713157
10338980	6.302276	6.364676	6.206481	6.159147	6.65712	6.234888	6.393256	6.559295
10338981	7.951616	7.49316	7.708531	7.733388	7.847345	7.853162	7.78433	7.983467
10338982	6.127844	6.619383	6.630157	6.083395	6.140656	6.33904	5.95404	5.837744
10338983	7.156916	6.745451	6.990232	7.152236	7.129083	6.769319	7.220193	6.867632
10338984	9.015306	9.69582	9.814363	8.877558	9.339151	9.665851	9.519186	9.06927
10338985	6.449908	6.413617	6.325796	6.513309	6.596791	6.243121	6.164776	6.414697
10338986	4.133482	4.289333	4.159479	4.093145	4.131523	4.127993	4.161506	4.103004
10338987	11.24191	11.44745	11.35786	11.2808	11.19713	10.9042	11.13717	11.04326
10338988	10.22843	10.14139	10.35491	10.4233	10.21452	10.26364	9.925082	10.00215
10338989	5.237619	5.679375	6.386419	5.489359	6.311456	6.06293	6.201152	5.751949
10338990	5.929702	6.225633	6.614901	6.036322	6.169074	6.627924	6.358391	5.725397
10338991	6.009224	5.79205	5.897904	6.071474	5.742945	5.841496	5.73885	5.577443
10338992	8.389579	8.161201	8.035983	8.120036	8.240649	8.093637	8.556357	8.399975
10338993	11.19381	10.3359	10.47392	10.44756	10.53572	10.47062	10.80933	11.07679
10338994	8.603072	9.291854	9.616343	9.396818	9.725035	9.505219	9.477711	9.268928
10338995	4.69852	4.512289	5.361346	4.624334	4.621938	4.722657	4.395923	4.568541
10338996	7.357556	7.486669	7.632695	7.440958	8.08614	7.630561	7.959266	7.745843
10338997	5.229537	5.494285	5.376667	5.344934	5.122166	5.145631	5.145548	5.13718
